"Contaminant","Authorization","Limit","Amount.Released","url","regulated_entity_name","physical_location","rn_number","city","county","event_type","event_began_date","event_began_time","based_on","event_ended_date","event_ended_time","cause","action_taken","emissions_estimation_method","potential_duplicate"
"Opacity","O1552","30.0 % op","0.01 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265253","LYNDON B JOHNSON SPACE CENTER","ON 2101 NASA RD","RN100665579","HOUSTON"," HARRIS","MAINTENANCE",2017-08-31,"12:00PM","FINAL REPORT","08/31/2017","
		10:00PM
","The scheduled load bank testing was cancelled due to the disruption of routine onsite activities associated with Hurricane/Tropical Storm Harvey.","N/A","N/A",FALSE
"Opacity","O1552","30.0 % op","0.01 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265253","LYNDON B JOHNSON SPACE CENTER","ON 2101 NASA RD","RN100665579","HOUSTON"," HARRIS","MAINTENANCE",2017-08-31,"12:00PM","FINAL REPORT","08/31/2017","
		10:00PM
","The scheduled load bank testing was cancelled due to the disruption of routine onsite activities associated with Hurricane/Tropical Storm Harvey.","N/A","N/A",TRUE
"Opacity","O1552","30.0 % op","0.01 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265253","LYNDON B JOHNSON SPACE CENTER","ON 2101 NASA RD","RN100665579","HOUSTON"," HARRIS","MAINTENANCE",2017-08-31,"12:00PM","FINAL REPORT","08/31/2017","
		10:00PM
","The scheduled load bank testing was cancelled due to the disruption of routine onsite activities associated with Hurricane/Tropical Storm Harvey.","N/A","N/A",TRUE
"Opacity","O1552","20.0 % op","0.01 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265253","LYNDON B JOHNSON SPACE CENTER","ON 2101 NASA RD","RN100665579","HOUSTON"," HARRIS","MAINTENANCE",2017-08-31,"12:00PM","FINAL REPORT","08/31/2017","
		10:00PM
","The scheduled load bank testing was cancelled due to the disruption of routine onsite activities associated with Hurricane/Tropical Storm Harvey.","N/A","N/A",TRUE
"Opacity","O1552","20.0 % op","0.01 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265253","LYNDON B JOHNSON SPACE CENTER","ON 2101 NASA RD","RN100665579","HOUSTON"," HARRIS","MAINTENANCE",2017-08-31,"12:00PM","FINAL REPORT","08/31/2017","
		10:00PM
","The scheduled load bank testing was cancelled due to the disruption of routine onsite activities associated with Hurricane/Tropical Storm Harvey.","N/A","N/A",TRUE
"Opacity","Permit 8097 Special Condition 5","6.0 % op","100.0 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265329","CHAPARRAL STEEL MIDLOTHIAN PLANT","","RN100216472","MIDLOTHIAN"," ELLIS","MAINTENANCE",2017-08-24,"2:00AM","INITIAL REPORT","08/25/2017","
		2:00AM
","Replacement of damaged sheet metal roof panels in the canopy of the Melt Shop building.","The maintenance activities are being coordinated with a process down day.  Both electric arc furnaces will be offline from 02:00 to 18:00 on 08/24/2017.  ""A EAF Furnace"" is scheduled to come back on line at 18:00 on 08/24/2017.  B EAF Furnace is not scheduled to come back on line until after completion of the maintenance activity.  Furthermore, the work area that is open to the atmosphere will be kept as small as practicable replacing only a few panels at a time","We expect this maintenance project to periodically result in unauthorized opacity emissions, possibly as high as 100% opacity.",FALSE
"Opacity","NSR Permit 812","20.0 % op","100.0 % op (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265660","INVISTA SARL","APPROX 1.0 MI W OF INTX OF FM1686 AND SH185 ABOUT 8 MI S OF VICTORIA","RN102663671","VICTORIA"," VICTORIA","MAINTENANCE",2017-09-05,"6:00AM","INITIAL REPORT","09/25/2017","
		6:00AM
","A pre-reported and scheduled polar blasting cleaning maintenance activity on boiler #2. Visible emissions from the Boiler #1 and Boiler #2 common stack may result during the polar blast. Boiler #1 and Boiler #2 common stack COMS (continuous Opacity Monitor) will be used to monitor opacity during the activity.","To minimize opacity, operations will closely monitor opacity and react to minimize opacity. Boiler #2 shares a common stack with Boiler #1. In order to minimize opacity during the polar blasting Boiler #1 will not be in shut down or startup mode.","Continuous Opacity Monitoring will be used to determine the quantities",FALSE
"Carbon Monoxide","Permit No. O8414, PSD-TX-328M3","11.26 LBS/HR","2560.0 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265910","SEMINOLE GAS PROCESSING PLANT","3.5 MI NW ON HWY 214 FROM INTX OF HWY 180 AND HWY 214","RN103758470","SEMINOLE"," GAINES","MAINTENANCE",2017-08-23,"5:40AM","FINAL REPORT","08/24/2017","
		10:20AM
","On 8/23/2017, the Seminole Gas Processing Plant operated by Hess Corporation began maintenance on the HHE Inlet Compressor and started flaring at approximately at 5:40 hours.  The work was completed and flaring ceased on 8/24/2017 at approximately 10:20 hours.Below is a list of equipment and work performed:","This was a preventative maintenance event to improve the reliability of the compressor.","BASIS USED TO DETERMINE QUANTITIES FOR THE EVENT*:Natural Gas Released = Total pounds of Methane+ x (0.02) = lbs of Natural Gas released excluding O2, N2, CO2 & H2SNOx Released = (MSCF) x (1000) x (BTU/SCF) x (0.0000000641) = lbs. of NOx ",FALSE
"Hydrogen Sulfide","Permit No. O8414, PSD-TX-328M3","0.98 LBS/HR","238.0 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265910","SEMINOLE GAS PROCESSING PLANT","3.5 MI NW ON HWY 214 FROM INTX OF HWY 180 AND HWY 214","RN103758470","SEMINOLE"," GAINES","MAINTENANCE",2017-08-23,"5:40AM","FINAL REPORT","08/24/2017","
		10:20AM
","On 8/23/2017, the Seminole Gas Processing Plant operated by Hess Corporation began maintenance on the HHE Inlet Compressor and started flaring at approximately at 5:40 hours.  The work was completed and flaring ceased on 8/24/2017 at approximately 10:20 hours.Below is a list of equipment and work performed:","This was a preventative maintenance event to improve the reliability of the compressor.","BASIS USED TO DETERMINE QUANTITIES FOR THE EVENT*:Natural Gas Released = Total pounds of Methane+ x (0.02) = lbs of Natural Gas released excluding O2, N2, CO2 & H2SNOx Released = (MSCF) x (1000) x (BTU/SCF) x (0.0000000641) = lbs. of NOx ",FALSE
"NATURAL GAS","'No specific emissions authorizations for this facility'","0.0","3270.0 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265910","SEMINOLE GAS PROCESSING PLANT","3.5 MI NW ON HWY 214 FROM INTX OF HWY 180 AND HWY 214","RN103758470","SEMINOLE"," GAINES","MAINTENANCE",2017-08-23,"5:40AM","FINAL REPORT","08/24/2017","
		10:20AM
","On 8/23/2017, the Seminole Gas Processing Plant operated by Hess Corporation began maintenance on the HHE Inlet Compressor and started flaring at approximately at 5:40 hours.  The work was completed and flaring ceased on 8/24/2017 at approximately 10:20 hours.Below is a list of equipment and work performed:","This was a preventative maintenance event to improve the reliability of the compressor.","BASIS USED TO DETERMINE QUANTITIES FOR THE EVENT*:Natural Gas Released = Total pounds of Methane+ x (0.02) = lbs of Natural Gas released excluding O2, N2, CO2 & H2SNOx Released = (MSCF) x (1000) x (BTU/SCF) x (0.0000000641) = lbs. of NOx ",FALSE
"Nitrogen oxide","Permit No. O8414, PSD-TX-328M3","1.31 LBS/HR","299.0 lbs (est.)","http://www2.tceq.texas.gov/oce/eer/index.cfm?fuseaction=main.getDetails&target=265910","SEMINOLE GAS PROCESSING PLANT","3.5 MI NW ON HWY 214 FROM INTX OF HWY 180 AND HWY 214","RN103758470","SEMINOLE"," GAINES","MAINTENANCE",2017-08-23,"5:40AM","FINAL REPORT","08/24/2017","
		10:20AM
","On 8/23/2017, the Seminole Gas Processing Plant operated by Hess Corporation began maintenance on the HHE Inlet Compressor and started flaring at approximately at 5:40 hours.  The work was completed and flaring ceased on 8/24/2017 at approximately 10:20 hours.Below is a list of equipment and work performed:","This was a preventative maintenance event to improve the reliability of the compressor.","BASIS USED TO DETERMINE QUANTITIES FOR THE EVENT*:Natural Gas Released = Total pounds of Methane+ x (0.02) = lbs of Natural Gas released excluding O2, N2, CO2 & H2SNOx Released = (MSCF) x (1000) x (BTU/SCF) x (0.0000000641) = lbs. of NOx ",FALSE
